tag,h,x,y,quadrat,bottom.corrx,bottom.corry,top.corrx,top.corry,species,sp.num,stem.id,piece.id,windthrow,cut,decay,type,dbh,ht.m,top.dbh,end.dbh,length,notes,
20207,2,1,9,219,3.7,183.4,5.6,181.2,,,,A,N,N,2,lying whole,9.7,,,9.4,2.7,,
20223,2,1,10,2110,5.5,196.9,,,,,,A,N,N,2,standing broken,8.3,0.95,8,,,,
20223,2,1,10,2110,5.8,196.5,5.7,195.8,,,,B,N,N,2,standing broken,8,,,7.4,0.9,,
20223,2,1,10,2110,6.2,195.7,5,194.1,,,,C,N,N,2,standing broken,7.4,,,6.1,2,,
20222,2,1,10,2110,5.5,196.9,,,,,,A,N,N,2,standing broken,11.2,1.4,11.1,,,,
20222,2,1,10,2110,5,196.5,8.3,190.6,,,,B,N,N,2,standing broken,11.1,,,4.3,6.7,,
20180,2,2,9,229,13.2,187.6,,,CACA18,14,,A,N,N,2,standing broken,8.3,1.3,7.5,,,,
20180,2,2,9,229,13.6,188,17.1,187.6,CACA18,14,,B,N,N,2,standing broken,7.5,,,5.7,3.3,,
no tag,2,2,9,229,15.4,183.6,,,,,,A,N,N,3,stump,,,,,,,
no tag,2,3,8,238,15.4,179.3,27.7,178.2,,,,A,N,N,2,lying whole,5,,,2.3,5.5,,
no tag,2,3,8,238,24.7,178.7,25.2,174.4,,,,A,N,N,2,lying whole,3.3,,,2.2,4,,
20527,2,4,9,249,33.2,180.4,35.6,178.1,,,,A,N,N,2,lying whole,11.3,,,5.3,3.4,,
20516,2,4,8,248,35.5,174.1,36.7,167.7,,,,A,N,N,2,lying whole,5.9,,,2.1,6.2,,
20552,2,4,10,2410,38.7,199.3,,,,,,A,N,N,2,standing broken,11.9,,,,,no top,
20587,2,5,10,2510,49.3,197.6,,,,,,A,N,N,2,standing dead,10.9,,,,,,
20488,2,5,8,258,40.8,178.5,,,,,,A,N,N,1,standing dead,13,,,,,,
20342,2,3,6,236,22.3,154.5,16,154.3,,,,A,N,N,2,lying whole,5.4,,,2.9,6.6,,
20288,2,4,6,246,31,157.9,23.7,155.4,,,,A,N,N,2,lying whole,21.8,,,5.7,7.9,,
20145,2,2,6,226,18.8,154.1,,,,,,A,N,N,1,standing broken,49.2,7,32.3,,,,
20145,2,2,6,226,18.4,153.7,9.3,138.7,,,,B,N,N,1,standing broken,32.3,,,7.3,16.2,,
20462,2,5,6,256,45,152.4,56.2,149.1,,,,A,N,N,2,lying whole,18.4,,,11.1,11.6,,
20759,2,6,5,265,51.7,145.7,53.8,146,,,,A,N,N,2,lying whole,4.3,,,4.2,2.2,,
20756,2,6,5,265,55.3,146.9,,,,,,A,N,N,2,standing dead,4.9,,,,,,
20743,2,6,4,264,57.4,137.3,56.5,141.7,,,,A,N,N,2,lying whole,4.7,,,2.8,4.4,,
no tag,2,6,5,265,57.7,141.3,,,,,,A,N,N,3,stump,,,,,,,
no tag,2,6,4,264,58.2,139.5,48.9,128.2,,,,A,N,N,3,lying whole,71.4,,,54,14.5,,
20645,2,7,4,274,63.6,134.8,63.6,132.8,,,,A,N,N,2,lying whole,6.4,,,,2,leaning,
21555,2,7,4,274,64.9,131.2,,,,,,A,N,N,2,standing broken,10.5,3,7.6,,,,
21555,2,7,4,274,64.2,129.9,64.1,126.8,,,,B,N,N,2,standing broken,7.6,,,6.1,3.2,,
20635,2,7,3,273,62.9,128.2,64.4,124.1,,,,A,N,N,2,lying whole,5,,,3.2,4.2,,
21558,2,8,4,284,75.6,131.7,76.5,136.1,,,,A,N,N,2,lying whole,5.7,,,4.6,4.8,,
20835,2,8,3,283,74.9,126.2,69,125.8,,,,A,N,N,2,lying whole,14.1,,,9.3,6,,
20718,2,6,3,263,51.1,121.1,,,,,,A,N,N,2,standing broken,12.9,4,9.6,,,,
20718,2,6,3,263,50.5,121,46.1,116.9,,,,B,N,N,2,standing broken,9.6,,,6.4,6.4,,
20718,2,5,2,252,46.1,115.9,45.6,114.4,,,,C,N,N,2,standing broken,5.5,,,2.4,1.9,,
20827,2,8,2,282,77.8,118.5,,,,,,A,N,N,2,standing dead,54.7,,,,,,
20820,2,8,2,282,76.8,114,,,,,,A,N,N,2,standing broken,21.7,4,17.8,,,,
20820,2,8,2,282,76.9,112.6,69.9,102.3,,,,B,N,N,2,standing broken,17.8,,,3.6,12.3,,
no tag,2,8,1,281,71.1,102.1,76.8,113.7,,,,A,N,N,2,lying whole,25.8,,,,13,,
20808,2,8,1,281,72.2,107.3,77,103.8,,,,A,N,N,1,lying whole,6,,,2.2,5.6,,
no tag,2,8,1,281,73.1,102.1,,,,,,A,N,N,3,stump,,,,,,,
20803,2,8,1,281,79.3,101.5,,,,,,A,N,N,2,standing dead,12.9,,,,,,
20625,2,7,2,272,67.2,111.7,68.5,110.8,,,,A,N,N,2,lying broken,6.2,,,5.1,2,,
20625,2,7,2,272,68.9,110.3,69.6,111.1,,,,B,N,N,2,lying broken,4.8,,,4.7,1.3,,
no tag,2,7,2,272,67.1,110,66.1,116.7,,,,A,N,N,3,lying whole,23.5,,,14,6.2,,
20708,2,6,2,262,53.9,111.9,,,,,,A,N,N,2,standing dead,33.2,,,,,,
no tag,2,6,1,261,58,107.8,55.5,104.5,,,,A,N,N,2,lying whole,8.8,,,8,4,,
20927,2,9,1,291,89.7,103,,,,,,A,N,N,2,standing dead,20.9,,,,,,
no tag,2,9,1,291,81.4,101.5,74.4,99.7,,,,A,N,N,3,lying whole,35.6,,,32.5,,,
no tag,2,10,2,2102,95.6,114.1,,,,,,A,N,N,3,stump,,,,,,,
20954,2,9,3,293,87.9,124.6,87.4,121.4,,,,A,N,N,2,lying whole,3.8,,,3,3.5,,
no tag,2,10,4,2104,98.6,129.9,98.3,126.5,,,,A,N,N,3,lying whole,19.6,,,13.2,2.9,,
20964,2,9,4,294,81.9,132.9,85.2,129,,,,A,N,N,2,lying whole,9.3,,,5.2,5.1,,
21566,2,9,4,294,82.4,136.2,84.8,134.5,,,,A,N,N,2,lying whole,6.1,,,6,2.9,,
20962,2,9,4,294,88.7,133.9,,,,,,A,N,N,2,standing dead,9,,,,,,
20970,2,9,4,294,85.6,139.5,,,,,,A,N,N,2,standing dead,6,,,,,,
20980,2,9,5,295,88.3,149.3,,,,,,A,N,N,2,standing broken,25.7,2.4,19.6,,,,
20980,2,9,5,295,86.1,149.8,82.3,138.9,,,,B,N,N,2,standing broken,19.6,,,13.1,10.8,,
20904,2,6,10,2610,53.3,190.8,,,LITU,41,,A,N,N,2,standing dead,17.1,,,,stump sprouts,,
20782,2,6,10,2610,49.9,190.2,,,,,,A,N,N,2,standing dead,5.4,1.3,,,,,
no tag,2,8,9,289,77.1,190.2,69,201,,,,A,N,N,3,lying whole,36.7,,,22.8,23.1,,
no tag,2,8,9,289,77.3,188.1,,,,,,A,N,N,3,stump,,,,,,,
21032,2,9,10,2910,86.7,192.7,83.8,192.5,,,,A,N,N,2,lying whole,4.7,,,3.7,3.2,,
21033,2,9,10,2910,85.2,193,89.8,195.8,,,,A,N,N,2,lying whole,5.1,,,2.1,5.6,,
21119,2,8,9,289,69.8,182.9,67.2,176.8,,,,A,N,N,3,lying whole,15.9,,,7.7,7.3,,
20690,2,7,8,278,69.8,172.9,87.7,168.8,,,,A,N,N,2,lying broken,24,,,13.2,19.7,,
20690,2,9,7,297,87.3,168.6,85.2,168.5,,,,B,N,N,2,lying broken,14.8,,,10.8,2.5,,
20878,2,8,8,288,76.4,170.3,,,,,,A,N,N,2,standing broken,5.6,1.5,5.5,,,,
20878,2,8,8,288,77,170.3,80,172.1,,,,B,N,N,2,standing broken,5.5,,,3.8,3.8,,
20875,2,8,7,287,70.4,166.9,,,CACA18,14,,A,N,N,2,stump,,,,,,,
20887,2,8,8,288,72.1,175.4,,,,,,A,N,N,2,standing broken,42.3,14,31.7,,,,
20887,2,8,8,288,70.7,177.9,71.3,167,,,,B,N,N,2,standing broken,31.7,,,21.5,11.2,,
20887,2,8,7,287,71.3,166.3,70.1,163.9,,,,C,N,N,2,standing broken,20.8,,,17.4,3,,
20887,2,8,7,287,72.8,162.3,69.9,162,,,,D,N,N,2,standing broken,15.7,,,14.3,3.1,,
no tag,2,7,7,277,68.2,166.1,,,,,,A,N,N,3,stump,,,,,,,
no tag,2,7,6,276,64.8,151,61.3,153.8,,,,A,N,N,3,lying whole,68.9,,,39.5,4.7,,
no tag,2,8,6,286,74.1,151.5,80,158.4,,,,A,N,N,3,lying whole,12.5,,,10.6,9.8,,
20988,2,9,3,293,88,151.8,,,,,,A,N,N,2,standing broken,,,,,,live buds,
21098,2,10,6,2106,91.4,155.2,93.2,153,,,,A,N,N,2,lying whole,5.4,,,3.7,3,,
21005,2,9,7,297,89.1,162.2,91.1,164.4,,,,A,N,N,2,lying whole,9.8,,,8.8,2.9,,
21233,2,10,8,2108,97.4,170.7,,,,,,A,N,N,2,standing broken,7.8,1.5,6.4,,,,
21233,2,10,8,2108,97,171.3,100.7,172.9,,,,B,N,N,2,standing broken,6.4,,,5.7,4.3,,
21253,2,10,9,2109,90.9,180.9,,,,,,A,N,N,2,standing broken,20.2,6,16.5,,,,
21253,2,10,9,2109,91.7,181.4,89.9,179,,,,B,N,N,2,standing broken,16.5,,,14.8,3,,
21253,2,9,8,298,89.2,178.8,84.9,175.1,,,,C,N,N,2,standing broken,14.8,,,8.2,6.1,,
21256,2,10,9,2109,93.5,181,,,,,,A,N,N,2,standing dead,16.5,,,,,,
21257,2,10,9,2109,93.5,181,,,,,,A,N,N,2,standing dead,6,,,,,,
30050,3,1,5,315,1.4,240.5,9.2,248.2,,,,A,N,N,2,lying whole,34.7,,,20.4,10,,
30145,3,2,5,325,11.7,244.4,,,,,,A,N,N,3,standing dead,26.5,,,,,leaning on 030142,
30154,3,2,5,325,18.9,248.2,,,,,,A,N,N,3,standing broken,20.8,,15.5,,,,
30154,3,2,5,325,16.8,246.5,13.1,246.1,,,,B,N,N,3,standing broken,15.5,,,13.1,3.8,,
30154,3,2,5,325,12.6,246.5,10.8,246.8,,,,C,N,N,3,standing broken,12.8,,,11.2,1.8,,
30243,3,3,5,335,23.3,245.7,20.7,252.4,,,,A,N,N,3,lying whole,50.9,,,44.5,6.5,,
no tag,3,3,5,335,24.4,241.6,41.6,235.1,,,,A,N,N,3,lying whole,22.2,,,13.2,17.6,,
no tag,3,4,4,344,39.2,234.3,45.1,225.8,,,,A,N,N,2,lying whole,16.8,,,11.7,9.6,,
no tag,3,5,3,353,47.1,223.5,39.9,217.7,,,,A,N,N,3,lying whole,19.3,,,15.7,8.3,,
no tag,3,4,2,342,30,210.4,49,214.7,,,,A,N,N,3,lying whole,59,,,42.6,18.6,,
no tag,3,3,5,335,20.3,245.7,12,232.3,,,,A,N,N,3,lying whole,27,,,14.6,14.4,,
no tag,3,2,4,324,12.9,235.1,2.8,227.3,,,,A,N,N,3,lying whole,32.7,,,8.4,11.9,,
no tag,3,2,3,323,11.6,226.3,,,,,,A,N,N,3,standing broken,,,19.1,,,stump,
no tag,3,2,3,323,8.1,229.2,7.6,232.9,,,,B,N,N,3,standing broken,19.1,,,16.6,3.3,,
no tag,3,2,3,323,7.7,233.7,8.3,235.1,,,,C,N,N,3,standing broken,16,,,15.7,1.9,,
no tag,3,1,2,312,7.9,216.1,9.1,204.1,,,,A,N,N,3,lying whole,24.2,,,15,10.9,,
no tag,3,3,2,332,29.6,213.4,,,,,,A,N,N,3,lying whole,30.8,,,11.8,19.4,,
30201,3,3,1,331,21.7,201.3,20.9,204.9,,,,A,N,N,2,lying whole,7.7,,,6.9,3.6,,
30209,3,3,1,331,26.4,206.3,23.5,205.4,,,,A,N,N,3,lying broken,16.7,,,16.2,2.8,,
30209,3,3,1,331,25.5,206.5,15,210,,,,B,N,N,3,lying broken,16.5,,,7.6,10.6,,
30424,3,5,1,351,43.4,200.8,74,206.7,,,,A,W,N,1,lying whole,93.4,,,14.6,6.4,,
no tag,3,1,10,3110,8.6,297.9,,,,,,A,N,N,3,stump,,,,,,,
no tag,3,1,10,3110,9.6,293.1,,,,,,A,N,N,3,stump,,,,,,,
30610,3,2,10,3210,14.7,295.8,12,295.8,CACA18,14,,A,N,N,3,lying whole,12.8,,,10.2,2.6,,
30606,3,2,10,3210,18.3,290.5,20.4,293.8,,,,A,N,N,3,lying broken,12.8,,,12.7,4.1,,
30606,3,2,10,3210,20.8,294.6,23.2,297.4,,,,B,N,N,3,lying broken,10.7,,,9.8,3.4,,
30606,3,2,10,3210,22.7,297.7,24.5,299.8,,,,C,N,N,3,lying broken,9.8,,,9.3,2.4,,
30198,3,2,9,329,13.8,287.8,22.1,285.4,,,,A,N,N,3,lying whole,21.2,,,8.3,8.8,,
no tag,3,2,8,328,18.5,279.3,,,,,,A,N,N,3,stump,,,,,,,
no tag,3,1,8,318,8,276.8,11.9,261.7,,,,A,N,N,3,lying whole,23.8,,,12.5,14.9,,
no tag,3,4,7,347,30.1,263,22.1,270.8,,,,A,N,N,2,lying whole,12.2,,,7.7,11.4,,
30911,3,4,7,347,30.8,263.9,25.7,269.7,,,,A,N,N,3,lying whole,22.8,,,13.2,7.4,,
30073,3,1,6,316,8.5,256.8,,,,,,A,W,N,1,lying whole,42.5,,,,9.24,,
30066,3,1,6,316,0.4,254.6,,,,,,A,W,N,1,lying whole,35.3,,,24.4,4.2,,
no tag,3,3,6,336,20.9,255.2,,,,,,A,N,N,3,stump,,,,,,,
no tag,3,3,6,336,26.5,255.2,,,,,,A,N,N,3,stump,,,,,,,
30259,3,3,6,336,27.9,259.4,,,,,,A,N,N,1,live buds,,,,,,,
30822,3,5,6,356,41.7,255.1,45.7,266.9,,,,A,N,N,2,lying whole,33.2,,,22.8,11.6,,
30832,3,5,6,356,41.1,258.4,41,271.6,,,,A,N,N,2,lying whole,11.6,,,5.1,12.8,,
