QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY
746,70685,70685,LIST2,6.4,6.4,32.2,,,,,,,,,,,,1.3,DS,136.39999,256.39999
775,71065,71065,LITU,3.6,1.1,40.6,,,,,,,,,,,,1.3,DS,163.60001,241.10001
789,71313,71313,QUAL,6.1,7.5,35,,,,,,,,,,,,1.3,DC,176.10001,287.5
819,80339,80339,LIST2,0.9,9,57.9,,,,,,,,,,,,1.3,DS;Q,100.9,389
837,80436,80436,FAGR,5.2,2.3,108.6,,,,,,,,,,,,1.3,DS;X,125.2,362.29999
841,80360,80360,CATO6,7.8,2.5,15.5,,,,,,,,,,,,1.3,DS,137.8,302.5
865,80741,80741,LITU,7.9,2,19.2,,,,,,,,,,,,1.3,DS;RS,157.89999,342
884,81053,81053,LITU,6.9,9.7,20,,,,,,,,,,,,1.3,DS;MT,176.89999,339.70001
896,81292,81292,LIST2,5,1.8,32.1,,,,,,,,,,,,1.3,DS;IR;Q,185,351.79999
898,81312,81312,QUVE,1.2,2.1,47.8,,,,,,,,,,,,1.3,DC;MT,181.2,372.10001
911,92271,92271,LITU,3.9,0.1,13.6,,,,,,,,,,,,1.3,DS,203.89999,0.1
912,92297,92297,LITU,2.6,1.7,32.1,,,,,,,,,,,,1.3,DS;X,202.60001,11.7
917,92554,92554,FRPE,6.6,6,48.4,,,,,,,,,,,,1.3,DS,206.60001,66
917,92560,92560,FRPE,8.1,6.6,21.8,,,,,,,,,,,,1.3,DS,208.10001,66.6
919,92780,92780,FRPE,2.1,7,35.8,,,,,,,,,,,,1.3,DS,202.10001,87
926,91828,91828,ACRU,5,2.3,14.8,,,,,,,,,,,,1.3,DS;X,215,52.3
926,91854,91854,FRPE,4.7,8.1,78.1,,,,,,,,,,,,1.3,DS,214.7,58.1
927,91865,91865,FRPE,10,7.4,12.7,,,,,,,,,,,,1.3,DS;L;CWD;X,220,67.4
927,91891,91891,FRPE,1.2,8.2,35.6,,,,,,,,,,,,1.3,DS,211.2,68.2
927,91896,91896,FRPE,5.1,9.1,54,,,,,,,,,,,,1.3,DS,215.10001,69.1
928,92615,92615,FRPE,4.7,2.3,16.5,,,,,,,,,,,,1.3,DS;X,214.7,72.3
928,92662,92662,FRPE,8.6,9.6,50.4,,,,,,,,,,,,1.3,DS;X,218.60001,79.6
934,91385,91385,ULRU,7.3,6.8,10.1,,,,,,,,,,,,1.3,DS;X,227.3,36.8
938,90898,90898,FRPE,5.5,8.9,61.2,,,,,,,,,,,,1.3,DS,225.5,78.9
939,90983,90983,FRPE,1.6,1.9,22.6,,,,,,,,,,,,1.3,DS;L,221.60001,81.9
939,90994,90994,FRPE,7.7,3.3,52,,,,,,,,,,,,1.3,DS;X,227.7,83.3
948,92173,92173,FRPE,2.2,2.7,39.1,,,,,,,,,,,,1.3,DS,232.2,72.7
949,91915,91915,FRPE,2.2,1,63.4,,,,,,,,,,,,1.3,DS,232.2,81
949,91943,91943,FRPE,6.8,5.4,58.9,,,,,,,,,,,,1.3,DS,236.8,85.4
951,90847,90847,LIST2,1.9,9.7,23.1,,,,,,,,,,,,1.3,DS;X,241.89999,9.7
951,90851,90851,LIST2,6.3,9,12.3,,,,,,,,,,,,1.3,DS;X,246.3,9
958,92498,92498,TORA2,0.5,4.6,15.2,,,,,,,,,,,,1.36,DS;A,240.5,74.6
958,92499,92499,FRPE,0.5,4.6,107.3,,,,,,,,,,,,1.3,DS,240.5,74.6
968,91458,91458,FRPE,2.7,8.7,66.3,,,,,,,,,,,,1.3,DS,252.7,78.7
969,91463,91463,FRPE,1.6,3,77.1,,,,,,,,,,,,1.3,DS,251.60001,83
973,90692,90692,ULRU,0.4,5,15.4,,,,,,,,,,,,1.3,DS,260.39999,25
978,91004,91004,FRPE,3.8,2.9,54.1,,,,,,,,,,,,1.3,DS,263.79999,72.9
978,91015,91015,FRPE,3,8.5,50.3,,,,,,,,,,,,1.3,DS,263,78.5
979,91024,91024,FRPE,4.3,3.3,29.5,,,,,,,,,,,,1.3,DS,264.29999,83.3
979,91025,91025,FRPE,1,4.3,10,,,,,,,,,,,,1.3,DS,261,84.3
979,91026,91026,FRPE,9,4.3,29.8,,,,,,,,,,,,1.3,DS;X;L;IR,269,84.3
979,91037,91037,FRPE,6.8,7,19.3,,,,,,,,,,,,1.3,DS,266.79999,87
982,90218,90218,LIST2,6.1,4.2,28.2,,,,,,,,,,,,1.3,DS,276.10001,14.2
987,90477,90477,FRPE,1,9.8,51.9,,,,,,,,,,,,1.3,DS,271,69.8
989,90299,90299,FRPE,9.7,9.4,34.7,,,,,,,,,,,,1.38,DS;A,279.70001,89.4
989,90839,90839,FRPE,1.7,6,73.2,,,,,,,,,,,,1.3,DS,271.70001,86
