QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH.2019,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY,Notes2021
159,10480,10480,QUMI,9.7,6.2,15.5,,,,,,,,,,,,1.3,LI,49.7,86.2,
159,10494,10494,FAGR,5.9,9.6,29.1,,,,,,,,,,,,1.3,LI,45.9,89.6,
159,10497,10497,LIST2,0.8,4.1,10.8,,,,,,,,,,,,1.3,LI,40.8,84.1,
161,10605,10605,LITU,4,7.5,77.3,,,,,,,,,,,,1.3,LI,54,7.5,
161,10606,10606,QUAL,3,6.3,43.5,,,,,,,,,,,,1.3,LI,53,6.3,
162,10607,10607,FAGR,1,0.5,49.4,,,,,,,,,,,,1.3,LI,51,10.5,
163,10616,10616,QUAL,8.9,2.5,45.3,,,,,,,,,,,,1.3,LI,58.9,22.5,
163,10618,10618,NYSY,9.1,6.6,35.2,,,,,,,,,,,,1.3,LI,59.1,26.6,
164,10438,10438,QUPA2,0.7,3.6,11.5,,,,,,,,,,,,1.3,LI;P;M;IR,50.7,33.6,
164,10620,10620,ULAM,9.3,1,17.9,,,,,,,,,,,,1.3,LI,59.3,31,
164,10621,10621,FRPE,9.7,2.5,11.8,,,,,,,,,,,,1.3,LI;M;MT,59.7,32.5,
165,10629,10629,ULAM,7.1,3.8,18.3,,,,,,,,,,,,1.3,LI;MT,57.1,43.8,
165,10630,10630,FRPE,4.8,4.5,11.3,,,,,,,,,,,,1.3,LI,54.8,44.5,
165,10631,10631,LIST2,0.3,2.2,30.9,,,,,,,,,,,,1.3,LI;CWD,50.3,42.2,
165,10632,10632,ULAM,3.2,5.3,16.7,,,,,,,,,,,,1.3,LI;L;IR,53.2,45.3,
165,10633,10633,ULAM,3.7,5.3,31.4,,,,,,,,,,,,1.3,LI;L;MT,53.7,45.3,
165,10634,10634,FRPE,5,6.9,13.8,,,,,,,,,,,,1.3,LI;MT;SP,55,46.9,
165,10636,10636,FRPE,7.6,10,20,,,,,,,,,,,,1.3,LI;MT;SP,57.6,50,
167,10641,10641,LIST2,2.2,3.5,45.4,,,,,,,,,,,,1.3,LI,52.2,63.5,
167,11487,11487,LIST2,5.3,1.8,11.4,,,,,,,,,,,,1.3,LI;MT;M,55.3,61.8,
168,10647,10647,ULAM,5,2.4,16.1,,,,,,,,,,,,1.3,LI;I,55,72.4,
168,10648,10648,FRPE,7.8,8,18.9,,,,,,,,,,,,1.3,LI,57.8,78,
169,10650,10650,QUMI,0.7,5.2,11.1,,,,,,,,,,,,1.3,LI,50.7,85.2,
169,10652,10652,FAGR,1.7,8.4,13.5,,,,,,,,,,,,1.3,LI,51.7,88.4,
169,10654,10654,FAGR,5.8,7,17.8,,,,,,,,,,,,1.3,LI;IR,55.8,87,
169,10655,10655,FAGR,8.2,6.2,12.3,,,,,,,,,,,,1.3,LI;CWD,58.2,86.2,
169,10658,10658,QUMI,5.2,2.6,19.3,,,,,,,,,,,,1.3,LI;V50,55.2,82.6,
171,10516,10516,FAGR,1.3,2.2,53,,,,,,,,,,,,1.3,LI,61.3,2.2,
171,10517,10517,FAGR,7.1,3,13,,,,,,,,,,,,1.3,LI,67.1,3,
171,10518,10518,NYSY,4.6,3.8,24.1,,,,,,,,,,,,1.3,LI,64.6,3.8,
