TAG,QUADNAME,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
111620,1187,NA,COFL2,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,12.2,NA,2.8,NA,NA,,connected
111628,1187,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,14.1,NA,4.6,NA,NA,,
111727,1197,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,13.2,NA,5.5,NA,NA,,
11207,196,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,10,NA,,NA,NA,,
112141,111010,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,1.8,NA,8,NA,10.1,NA,,NA,NA,,
112141,111010,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,8,NA,3.2,NA,NA,,
42186,1218,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,22.7,NA,18,NA,NA,,
42226,1243,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,10.7,NA,,NA,NA,,
42346,1223,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,10.8,NA,2.5,NA,NA,,
42365,1225,NA,VIPR,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,2.3,NA,2.6,NA,NA,,broken
42426,1241,NA,COFL2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,6.3,NA,,NA,NA,,
42439,1243,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,1.7,NA,NA,NA,15.8,NA,,NA,NA,,no top
42528,12210,NA,CATO6,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,28,NA,19,NA,NA,,
42528,12410,NA,CATO6,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,16,NA,5.1,NA,NA,,
