TAG,QUADNAME,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
162689,1689,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
162691,1689,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,6.8,NA,,NA,NA,,
162692,1689,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,10,NA,,NA,NA,,
162693,1689,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,11.9,NA,,NA,NA,,
162695,1689,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,7.6,NA,,NA,NA,,
162696,1689,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,28.5,NA,,NA,NA,,
162706,1679,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,23.2,NA,,NA,NA,,
162707,1689,NA,ULAM,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,18.3,NA,,NA,NA,,
162752,1669,NA,PLOC,NA,NA,standing broken,,A,,,3,NA,,4,NA,NA,NA,74.4,NA,,NA,NA,,no top
162765,161010,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,no top
162770,16810,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,30.2,NA,,NA,NA,,
162771,16810,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,53.4,NA,,NA,NA,,
162785,16310,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,4,NA,52.5,NA,54.7,NA,,NA,NA,,
162785,16310,NA,UNKN,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,52.5,NA,18.1,NA,NA,,
162787,16210,NA,PLOC,NA,NA,stump,,A,,,3,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
163184,1642,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,5.2,NA,,NA,NA,,
20006,211,NA,QURU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,12.5,NA,9.1,NA,NA,,
20109,222,NA,QURU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,11.7,NA,10.4,NA,NA,,
20132,224,NA,FAGR,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,9.7,NA,3.2,NA,NA,,
20132,224,NA,FAGR,NA,NA,standing broken,,A,,,2,NA,,2.5,NA,NA,NA,9.8,NA,,NA,NA,,
20145,226,NA,LIST2,NA,NA,standing broken,,A,,,1,NA,,7,NA,32.3,NA,49.2,NA,,NA,NA,,
20145,226,NA,LIST2,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,32.3,NA,16.2,NA,NA,,
20180,229,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,1.3,NA,7.5,NA,8.3,NA,,NA,NA,,
20180,229,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,7.5,NA,3.3,NA,NA,,
20207,219,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,9.7,NA,2.7,NA,NA,,
20222,2110,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,1.4,NA,11.1,NA,11.2,NA,,NA,NA,,
20222,2110,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,11.1,NA,6.7,NA,NA,,
20223,2110,NA,CACA18,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,7.4,NA,2,NA,NA,,
20223,2110,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,8,NA,0.9,NA,NA,,
20223,2110,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,0.95,NA,8,NA,8.3,NA,,NA,NA,,
20239,242,NA,QURU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,70.4,NA,,NA,NA,,
20288,246,NA,JUVI,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,21.8,NA,7.9,NA,NA,,
20306,231,NA,QUAL,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,24.8,NA,12,NA,NA,,
20321,232,NA,QUCO2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,15.8,NA,13.8,NA,NA,,
20342,236,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.4,NA,6.6,NA,NA,,
20450,255,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.9,NA,4.5,NA,NA,,
20462,256,NA,CATO6,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,18.4,NA,11.6,NA,NA,,
20488,258,NA,COFL2,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,13,NA,,NA,NA,,
20516,248,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.9,NA,6.2,NA,NA,,
20527,249,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,11.3,NA,3.4,NA,NA,,
20552,2410,NA,UNKN,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,11.9,NA,,NA,NA,,no top
20587,2510,NA,LIST2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,10.9,NA,,NA,NA,,
20625,272,NA,CACA18,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,6.2,NA,2,NA,NA,,
20625,272,NA,CACA18,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,4.8,NA,1.3,NA,NA,,
20635,273,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5,NA,4.2,NA,NA,,
20645,274,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6.4,NA,2,NA,NA,,leaning
20690,278,NA,CATO6,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,24,NA,19.7,NA,NA,,
20690,297,NA,CATO6,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,14.8,NA,2.5,NA,NA,,
20708,262,NA,CARYA,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,33.2,NA,,NA,NA,,
20718,263,NA,FAGR,NA,NA,standing broken,,A,,,2,NA,,4,NA,9.6,NA,12.9,NA,,NA,NA,,
20718,252,NA,FAGR,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,5.5,NA,1.9,NA,NA,,
20718,263,NA,FAGR,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,9.6,NA,6.4,NA,NA,,
20743,264,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,4.7,NA,4.4,NA,NA,,
20756,265,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,4.9,NA,,NA,NA,,
20759,265,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,4.3,NA,2.2,NA,NA,,
20782,2610,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,1.3,NA,NA,NA,5.4,NA,,NA,NA,,
20803,281,NA,CACO15,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,12.9,NA,,NA,NA,,
20808,281,NA,FAGR,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,6,NA,5.6,NA,NA,,
20820,282,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,4,NA,17.8,NA,21.7,NA,,NA,NA,,
20820,282,NA,LIST2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,17.8,NA,12.3,NA,NA,,
20827,282,NA,QURU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,54.7,NA,,NA,NA,,
20835,283,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,14.1,NA,6,NA,NA,,
20875,287,NA,CACA18,NA,NA,stump,,A,,,2,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
20878,288,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,1.5,NA,5.5,NA,5.6,NA,,NA,NA,,
20878,288,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,5.5,NA,3.8,NA,NA,,
20887,287,NA,CATO6,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,20.8,NA,3,NA,NA,,
20887,288,NA,CATO6,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,31.7,NA,11.2,NA,NA,,
20887,288,NA,CATO6,NA,NA,standing broken,,A,,,2,NA,,14,NA,31.7,NA,42.3,NA,,NA,NA,,
20887,287,NA,CATO6,NA,NA,standing broken,,D,,,2,NA,,NA,NA,NA,NA,15.7,NA,3.1,NA,NA,,
20904,2610,NA,LIST2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,17.1,NA,stump sprouts,NA,NA,,
20927,291,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,20.9,NA,,NA,NA,,
20954,293,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,3.8,NA,3.5,NA,NA,,
20962,294,NA,COFL2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,9,NA,,NA,NA,,
20964,294,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,9.3,NA,5.1,NA,NA,,
20970,294,NA,LIST2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,6,NA,,NA,NA,,
20980,295,NA,LIST2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,19.6,NA,10.8,NA,NA,,
20980,295,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,2.4,NA,19.6,NA,25.7,NA,,NA,NA,,
20988,293,NA,COFL2,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,live buds
21005,297,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,9.8,NA,2.9,NA,NA,,
21032,2910,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,4.7,NA,3.2,NA,NA,,
21033,2910,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.1,NA,5.6,NA,NA,,
21098,2106,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.4,NA,3,NA,NA,,
21119,289,NA,LIST2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,15.9,NA,7.3,NA,NA,,
21233,2108,NA,COFL2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,6.4,NA,4.3,NA,NA,,
21233,2108,NA,COFL2,NA,NA,standing broken,,A,,,2,NA,,1.5,NA,6.4,NA,7.8,NA,,NA,NA,,
21253,298,NA,CATO6,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,14.8,NA,6.1,NA,NA,,
21253,2109,NA,CATO6,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,16.5,NA,3,NA,NA,,
21253,2109,NA,CATO6,NA,NA,standing broken,,A,,,2,NA,,6,NA,16.5,NA,20.2,NA,,NA,NA,,
21256,2109,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,16.5,NA,,NA,NA,,
21257,2109,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,6,NA,,NA,NA,,
21529,232,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.6,NA,6.9,NA,NA,,
21541,244,NA,QURU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,39.7,NA,,NA,NA,,
21555,274,NA,COFL2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,7.6,NA,3.2,NA,NA,,
21555,274,NA,COFL2,NA,NA,standing broken,,A,,,2,NA,,3,NA,7.6,NA,10.5,NA,,NA,NA,,
21558,284,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.7,NA,4.8,NA,NA,,
21566,294,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6.1,NA,2.9,NA,NA,,
30050,315,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,34.7,NA,10,NA,NA,,
30066,316,NA,FRPE,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,35.3,NA,4.2,NA,NA,,
30073,316,NA,CATO6,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,42.5,NA,9.24,NA,NA,,
30145,325,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,26.5,NA,,NA,NA,,leaning on 030142
30154,325,NA,LITU,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,15.5,NA,3.8,NA,NA,,
30154,325,NA,LITU,NA,NA,standing broken,,A,,,3,NA,,NA,NA,15.5,NA,20.8,NA,,NA,NA,,
30154,325,NA,LITU,NA,NA,standing broken,,C,,,3,NA,,NA,NA,NA,NA,12.8,NA,1.8,NA,NA,,
30198,329,NA,CACA18,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,21.2,NA,8.8,NA,NA,,
30201,331,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.7,NA,3.6,NA,NA,,
30209,331,NA,LITU,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,16.7,NA,2.8,NA,NA,,
30209,331,NA,LITU,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,16.5,NA,10.6,NA,NA,,
30243,335,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,50.9,NA,6.5,NA,NA,,
30259,336,NA,CACA18,NA,NA,live buds,,A,,,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
30424,351,NA,QUAL,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,93.4,NA,6.4,NA,NA,,
30498,349,NA,FAGR,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,14.2,NA,4.4,NA,NA,,
30498,349,NA,FAGR,NA,NA,lying broken,,C,,,3,NA,,NA,NA,NA,NA,12.9,NA,1.2,NA,NA,,
30498,349,NA,FAGR,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,13.5,NA,1.3,NA,NA,,
30528,371,NA,FAGR,NA,NA,standing broken,,A,,,1,NA,,3,NA,30.7,NA,37.1,NA,,NA,NA,,
30528,371,NA,FAGR,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,30.7,NA,10.8,NA,NA,,
30606,3210,NA,LITU,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,12.8,NA,4.1,NA,NA,,
30606,3210,NA,LITU,NA,NA,lying broken,,C,,,3,NA,,NA,NA,NA,NA,9.8,NA,2.4,NA,NA,,
30606,3210,NA,LITU,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,10.7,NA,3.4,NA,NA,,
30610,3210,NA,CACA18,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,12.8,NA,2.6,NA,NA,,
30618,361,NA,LITU,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,45.3,NA,28,NA,NA,,leaning
30622,361,NA,FAGR,NA,NA,lying whole,,A,,,1,NA,,NA,NA,NA,NA,33,NA,20,NA,NA,,leaning
30624,361,NA,LIST2,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,25.7,NA,14.8,NA,NA,,
30624,361,NA,LIST2,NA,NA,standing broken,,A,,,1,NA,,4,NA,25.7,NA,32.4,NA,,NA,NA,,
30822,356,NA,CATO6,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,33.2,NA,11.6,NA,NA,,
30832,356,NA,QURU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,11.6,NA,12.8,NA,NA,,
30837,357,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.9,NA,7.3,NA,NA,,
30871,358,NA,LIST2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,35.7,NA,13.3,NA,NA,,
30883,3510,NA,QURU,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,NA,NA,9.7,NA,NA,,
30911,347,NA,LIST2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,22.8,NA,7.4,NA,NA,,
30915,347,NA,LIST2,NA,NA,standing broken,,A,,,2,NA,,NA,NA,NA,NA,8.5,NA,6.2,NA,NA,,connected
30941,348,NA,UNKN,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,12.4,NA,3.4,NA,NA,,
30941,348,NA,UNKN,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,12.3,NA,2.9,NA,NA,,
31077,382,NA,QUAL,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,60.5,NA,3.6,NA,NA,,
31077,394,NA,QUAL,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,97,NA,17.5,NA,NA,,
31077,382,NA,QUAL,NA,NA,lying broken,,C,,,3,NA,,NA,NA,NA,NA,38.6,NA,3.5,NA,NA,,
31077,391,NA,QUAL,NA,NA,lying broken,,E,,,3,NA,,NA,NA,NA,NA,36.3,NA,2.4,NA,NA,,
31077,381,NA,QUAL,NA,NA,lying broken,,D,,,3,NA,,NA,NA,NA,NA,37.4,NA,1.2,NA,NA,,
31120,377,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,1.5,NA,9,NA,9,NA,,NA,NA,,
31120,377,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,9,NA,2.2,NA,NA,,
31129,377,NA,COFL2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,6.6,NA,3.9,NA,NA,,
31129,377,NA,COFL2,NA,NA,standing broken,,A,,,2,NA,,2,NA,6.6,NA,8,NA,,NA,NA,,
31137,378,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,8.9,NA,3.8,NA,NA,,
31169,3710,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.9,NA,2.8,NA,NA,,
31303,387,NA,COFL2,NA,NA,stump,,A,,,3,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
31303,388,NA,COFL2,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,9.8,NA,3.8,NA,NA,,
31340,389,NA,CATO6,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,20.9,NA,,NA,NA,,
31343,3810,NA,FAGR,NA,NA,standing broken,,A,,,2,NA,,3,NA,NA,NA,9.7,NA,,NA,NA,,
31343,3810,NA,FAGR,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
31455,3104,NA,COFL2,NA,NA,standing dead,,A,,,2,NA,,4,NA,NA,NA,10.7,NA,,NA,NA,,
31472,3105,NA,COFL2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,11.2,NA,,NA,NA,,
31477,3105,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,4.7,NA,2.4,NA,NA,,
31614,3107,NA,COFL2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,5.2,NA,,NA,NA,,
40093,426,NA,FAGR,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,33.7,NA,1.5,NA,NA,,
40093,416,NA,FAGR,NA,NA,standing dead,,A,,,2,NA,,10.7,NA,33.7,NA,45.8,NA,,NA,NA,,
40093,426,NA,FAGR,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,28.9,NA,5.2,NA,NA,,
40203,431,NA,CATO6,NA,NA,lying cut,,B,,,1,NA,,NA,NA,NA,NA,46.5,NA,2.3,NA,NA,,
40203,431,NA,CATO6,NA,NA,lying cut,,E,,,1,NA,,NA,NA,NA,NA,39.1,NA,2,NA,NA,,
40203,431,NA,CATO6,NA,NA,lying cut,,H,,,1,NA,,NA,NA,NA,NA,36.1,NA,10.4,NA,NA,,
40203,431,NA,CATO6,NA,NA,lying cut,,G,,,1,NA,,NA,NA,NA,NA,38.2,NA,1.5,NA,NA,,
40203,431,NA,CATO6,NA,NA,lying cut,,A,,,1,NA,,1.3,NA,NA,NA,46.5,NA,,NA,NA,,
40203,431,NA,CATO6,NA,NA,lying cut,,D,,,1,NA,,NA,NA,NA,NA,39.1,NA,2,NA,NA,,
40203,421,NA,CATO6,NA,NA,lying cut,,C,,,1,NA,,NA,NA,NA,NA,43.8,NA,2.5,NA,NA,,
40203,431,NA,CATO6,NA,NA,lying cut,,F,,,1,NA,,NA,NA,NA,NA,38.9,NA,2,NA,NA,,
40263,434,NA,CACA18,NA,NA,stump,,A,,,3,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
40327,426,NA,UNKN,NA,NA,lying whole,Log,A,A,C,3,4,G,NA,NA,NA,8,12.5,12.1,8.7,8.7,NA,NE,MISSED IN2017
40501,416,NA,LITU,NA,NA,lying whole,,C,,,2,NA,,NA,NA,NA,NA,26,NA,0.7,NA,NA,,
40501,416,NA,LITU,NA,NA,lying whole,,E,,,2,NA,,NA,NA,NA,NA,21.6,NA,0.9,NA,NA,,
40501,416,NA,LITU,NA,NA,lying whole,,B,,,2,NA,,NA,NA,NA,NA,24.7,NA,1.5,NA,NA,,
40501,416,NA,LITU,NA,NA,lying whole,,D,,,2,NA,,NA,NA,NA,NA,22.2,NA,1.2,NA,NA,,
40501,417,NA,LITU,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,32.8,NA,9,NA,NA,,
40511,426,NA,LITU,NA,NA,lying whole,,B,,,2,NA,,NA,NA,NA,NA,22.3,NA,1.8,NA,NA,,
40511,417,NA,LITU,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,38.3,NA,15.2,NA,NA,,
40626,429,NA,PIVI2,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,19.3,NA,14.3,NA,NA,,
40626,429,NA,PIVI2,NA,NA,standing broken,,A,,,2,NA,,2.3,NA,19.3,NA,20.1,NA,,NA,NA,,
40633,4210,NA,PIVI2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,23.7,NA,,NA,NA,,
40772,443,NA,FAGR,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,31.9,NA,4.2,NA,NA,,
40772,443,NA,FAGR,NA,NA,standing broken,,A,,,2,NA,,13,NA,31.9,NA,66,NA,,NA,NA,,
40772,443,NA,FAGR,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,31.9,NA,1.2,NA,NA,,
40782,444,NA,NYSY,NA,NA,standing broken,,A,,,2,NA,,2.5,NA,NA,NA,3.5,NA,,NA,NA,,no top
40857,461,NA,FAGR,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,20,NA,9.1,NA,NA,,
40862,462,NA,CATO6,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,34.6,NA,16.1,NA,NA,,
40866,463,NA,FAGR,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,58.8,NA,16.5,NA,NA,,
40990,457,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,31.6,NA,10.3,NA,NA,,
40997,458,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,17.7,NA,,NA,NA,,
41017,473,NA,CATO6,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,31.6,NA,23.2,NA,NA,,
41067,476,NA,CATO6,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,24.3,NA,12.5,NA,NA,,
41075,477,NA,FAGR,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,32.2,NA,11.8,NA,NA,,
41077,477,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,28.3,NA,5.4,NA,NA,,
41083,478,NA,FAGR,NA,NA,standing broken,,A,,,1,NA,,NA,NA,NA,NA,3.5,NA,3.5,NA,NA,,
41106,465,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,2.4,NA,NA,NA,21.8,NA,,NA,NA,,no top
41135,468,NA,LITU,NA,NA,standing broken,,A,,,2,NA,,5,NA,35.8,NA,45.6,NA,,NA,NA,,
41135,468,NA,LITU,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,35.8,NA,4.3,NA,NA,,
41135,469,NA,LITU,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,29,NA,5,NA,NA,,
41135,459,NA,LITU,NA,NA,standing broken,,D,,,2,NA,,NA,NA,NA,NA,23.2,NA,1.3,NA,NA,,
41230,448,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,12.2,NA,5.5,NA,NA,,
41306,458,NA,UNKN,NA,NA,stump,,A,,,3,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,
41351,4510,NA,COFL2,NA,NA,standing dead,,A,,,1,NA,,NA,NA,NA,NA,8,NA,,NA,NA,,
41459,4710,NA,LITU,NA,NA,standing broken,,A,,,3,NA,,6,NA,18.5,NA,22.9,NA,,NA,NA,,
41459,4710,NA,LITU,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,18.5,NA,7,NA,NA,,
41490,4102,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,56.9,NA,10.9,NA,NA,,
41500,4103,NA,UNKN,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.7,NA,4.1,NA,NA,,
41548,492,NA,CACA18,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,21.7,NA,6.9,NA,NA,,
41634,482,NA,CATO6,NA,NA,standing broken,,A,,,2,NA,,12,NA,18.1,NA,26.1,NA,,NA,NA,,
41634,482,NA,CATO6,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,18.1,NA,7.1,NA,NA,,
41646,483,NA,NYSY,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,4.6,NA,4.6,NA,NA,,
41657,463,NA,CARYA,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,33.4,NA,2.7,NA,NA,,
41657,484,NA,CARYA,NA,NA,standing broken,,A,,,2,NA,,5,NA,44.2,NA,54,NA,,NA,NA,,
41657,484,NA,CARYA,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,44.2,NA,15.3,NA,NA,,
41686,487,NA,QURU,NA,NA,standing broken,,A,,,2,NA,,3.5,NA,NA,NA,4,NA,,NA,NA,,
41871,4910,NA,ACRU,NA,NA,standing broken,,A,,,1,NA,,6,NA,16.6,NA,24.1,NA,,NA,NA,,
41871,4910,NA,ACRU,NA,NA,standing broken,,B,,,1,NA,,NA,NA,NA,NA,16.6,NA,7.7,NA,NA,,
41901,487,NA,QUAL,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,35.5,NA,,NA,NA,,
