QUADNAME,TAG,STEMTAG,SPCODE,PX,PY,PIECE,BREAKDOWNSTATUS,INTEG,DECAYCLASS,DECAYCLASSORIG,GC,HEIGHT,TOPDIAM,DBH,DBH.2017,NOTES.2017,LG.PX,LG.PY,SM.PX,SM.PY,LENGTH,LG.END.DIAM,SM.END.DIAM,CON.2014,CODES.2014,NOTES.2014,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
2108,21253,21253,CATO6,1.1,1.1,A,Log,F,3,2,G,NA,NA,19.6,NA,NA,1.1,0.8,0,5,6,24.5,11.2,DS,NA,NA,91.1,181.1,438112.293,135775.597
241,21527,21527,FAGR,8.2,5.7,A,Snag,F,1,1,NA,5,NA,12.1,12.1,X,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,38.2,105.7,438059.393,135700.197
243,21541,21541,QURU,0.4,4.7,B,Log,F,4,2,G;A,NA,NA,NA,NA,NA,2,0.5,1,5,7,22.5,22.5,DS,MT,NA,30.4,134.7,438051.593,135729.197
244,21541,21541,QURU,0.4,4.7,A,Snag,F,3,2,NA,6,22.5,40,38,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT,NA,30.4,134.7,438051.593,135729.197
315,30050,30050,LITU,1.4,0.5,A,Log,NA,4,2,G,NA,NA,NA,NA,NA,1.4,240.5,9.2,248.2,10,24.7,NA,NA,NA,NA,NA,NA,NA,NA
316,30066,30066,FRPE,0.4,4.8,A,Log,NA,1,1,G,NA,NA,NA,NA,NA,0.4,254.6,NA,NA,4.2,35.7,24.2,NA,NA,NA,NA,NA,NA,NA
316,30073,30073,CATO6,8.4,7,A,Log,NA,2,1,G,NA,NA,NA,NA,NA,8.5,256.8,NA,NA,9.24,42.1,35.2,NA,NA,NA,NA,NA,NA,NA
325,30145,30145,UNKN,1.5,4.6,A,Snag,NA,3,2,NA,7,NA,26.2,27.2,leaning on 30142,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,11.5,244.6,438032.693,135839.097
325,30145,30154,LITU,9,8.5,B,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,18.4,NA,NA,NA,19,248.5,438040.193,135842.997
325,30145,30154,LITU,9,8.5,C,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,18.2,NA,NA,NA,19,248.5,438040.193,135842.997
325,30145,30154,LITU,9,8.5,D,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,15.3,NA,NA,NA,19,248.5,438040.193,135842.997
325,30154,30154,LITU,9,8.5,A,Snag,F,3,2,NA,1.8,NA,20.9,20.5,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,19,248.5,438040.193,135842.997
329,30198,30198,CACA18,3.9,8,A,Log,NA,3,2,NA,NA,NA,NA,NA,not found,13.8,287.8,22.1,285.4,8.8,21.2,8.3,NA,NA,NA,NA,NA,NA,NA
331,30202,30202,FRPE,2.2,1.4,A,Snag,C,1,1,NA,15.2,NA,33.9,34,SP=FRAM2,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,22.2,201.4,438043.393,135795.897
333,30225,30225,FRPE,6.1,9.1,A,Snag,C,1,1,NA,25,NA,30.3,30.2,switch xy,NA,NA,NA,NA,NA,NA,NA,LI,MA,NA,26.1,229.1,438047.293,135823.597
335,30242,30242,LIST2,2.6,3.8,A,Log,C,2,1,G,NA,NA,60.2,NA,NA,NA,NA,NA,NA,18,57.9,40.1,DS,MT,NA,22.6,243.8,438043.793,135838.297
336,30259,30259,CACA18,7.9,9.4,A,Log,NA,1,1,NA,NA,NA,NA,NA,NA,27.9,259.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,30264,30264,QUFA,6.4,1.8,A,Snag,F,2,1,NA,15,47.9,99.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,MA,NA,26.4,261.8,438047.593,135856.297
346,30264,30264,QUFA,6.4,1.8,B,Log,C,2,1,G,NA,NA,99.3,NA,NA,NA,NA,NA,NA,7,47.9,40.6,DS,MA,NA,26.4,261.8,438047.593,135856.297
337,30272,30272,ACRU,1.5,8.4,A,Log,C,2,1,G,NA,NA,12.5,NA,NA,NA,NA,NA,NA,14,13.4,4.1,DS,NA,NA,21.5,268.4,438042.693,135862.897
338,30274,30274,CACA18,1,0.8,B,Log,F,3,2,G,NA,NA,12.8,NA,NA,10,0.8,6,3,6,10.8,6.5,LI,MA,NA,21,270.8,438042.193,135865.297
338,30274,30274,CACA18,1,0.8,A,Snag,F,3,2,NA,2.6,10.8,12.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,MA,NA,21,270.8,438042.193,135865.297
