QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
332,no tag,,,,,lying whole,,A,,,3,,,,,,,30.8,,19.4,,,,
335,30243,,,,,lying whole,,A,,,3,,,,,,,50.9,,6.5,,,,
335,no tag,,,,,lying whole,,A,,,3,,,,,,,22.2,,17.6,,,,
335,no tag,,,,,lying whole,,A,,,3,,,,,,,27,,14.4,,,,
336,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
336,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
336,30259,,,,,live buds,,A,,,1,,,,,,,,,,,,,
342,no tag,,,,,lying whole,,A,,,3,,,,,,,59,,18.6,,,,
344,no tag,,,,,lying whole,,A,,,2,,,,,,,16.8,,9.6,,,,
347,no tag,,,,,lying whole,,A,,,2,,,,,,,12.2,,11.4,,,,
347,30911,,,,,lying whole,,A,,,3,,,,,,,22.8,,7.4,,,,
347,30915,,,,,standing broken,,A,,,2,,,,,,,8.5,,6.2,,,,connected
348,30941,,,,,lying broken,,A,,,3,,,,,,,12.4,,3.4,,,,
348,30941,,,,,lying broken,,B,,,3,,,,,,,12.3,,2.9,,,,
349,30498,,,,,lying broken,,A,,,3,,,,,,,14.2,,4.4,,,,
349,30498,,,,,lying broken,,B,,,3,,,,,,,13.5,,1.3,,,,
349,30498,,,,,lying broken,,C,,,3,,,,,,,12.9,,1.2,,,,
351,30424,,,,,lying whole,,A,,,1,,,,,,,93.4,,6.4,,,,
353,no tag,,,,,lying whole,,A,,,3,,,,,,,19.3,,8.3,,,,
356,30822,,,,,lying whole,,A,,,2,,,,,,,33.2,,11.6,,,,
356,30832,,,,,lying whole,,A,,,2,,,,,,,11.6,,12.8,,,,
357,30837,,,,,lying whole,,A,,,2,,,,,,,7.9,,7.3,,,,
357,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
358,30871,,,,,lying whole,,A,,,2,,,,,,,35.7,,13.3,,,,
361,30618,,,,,lying whole,,A,,,1,,,,,,,45.3,,28,,,,leaning
361,30622,,,,,lying whole,,A,,,1,,,,,,,33,,20,,,,leaning
361,30624,,,,,standing broken,,A,,,1,,,4,,25.7,,32.4,,,,,,
361,30624,,,,,standing broken,,B,,,1,,,,,,,25.7,,14.8,,,,
366,no tag,,,,,lying whole,,A,,,3,,,,,,,12.2,,4.8,,,,
371,30528,,,,,standing broken,,A,,,1,,,3,,30.7,,37.1,,,,,,
371,30528,,,,,standing broken,,B,,,1,,,,,,,30.7,,10.8,,,,
376,no tag,,,,,lying whole,,A,,,3,,,,,,,30.7,,7.5,,,,
377,31120,,,,,standing broken,,A,,,2,,,1.5,,9,,9,,,,,,
377,31120,,,,,standing broken,,B,,,2,,,,,,,9,,2.2,,,,
377,31129,,,,,standing broken,,A,,,2,,,2,,6.6,,8,,,,,,
377,31129,,,,,standing broken,,B,,,2,,,,,,,6.6,,3.9,,,,
378,no tag,,,,,lying whole,,A,,,3,,,,,,,8.5,,6.6,,,,
378,31137,,,,,lying whole,,A,,,2,,,,,,,8.9,,3.8,,,,
381,31077,,,,,lying broken,,D,,,3,,,,,,,37.4,,1.2,,,,
382,31077,,,,,lying broken,,B,,,3,,,,,,,60.5,,3.6,,,,
382,31077,,,,,lying broken,,C,,,3,,,,,,,38.6,,3.5,,,,
387,31303,,,,,stump,,A,,,3,,,,,,,,,,,,,
388,31303,,,,,lying broken,,B,,,3,,,,,,,9.8,,3.8,,,,
389,31340,,,,,standing dead,,A,,,2,,,,,,,20.9,,,,,,
391,31077,,,,,lying broken,,E,,,3,,,,,,,36.3,,2.4,,,,
394,no tag,,,,,lying whole,,A,,,3,,,,,,,55.9,,2.5,,,,
394,31077,,,,,lying broken,,A,,,3,,,,,,,97,,17.5,,,,
