"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"797",797,"91054A",91054,9710,NA,NA,"ULRU","lying whole",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"798",798,"91409C",91409,944,NA,NA,"LIST2","lying broken",NA,NA,2,NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"799",799,"91409A",91409,953,NA,NA,"LIST2","lying broken",NA,NA,2,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"800",800,"91409B",91409,944,NA,NA,"LIST2","lying broken",NA,NA,2,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"801",801,"91495A",91495,9610,NA,NA,"FRPE","standing dead",NA,NA,2,NA,NA,NA,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"802",802,"91707A",91707,912,NA,NA,"LIST2","lying whole",NA,NA,3,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"803",803,"91731A",91731,913,NA,NA,"ULRU","standing broken",NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,"snag",NA,NA,NA,NA
"804",804,"91770A",91770,914,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"805",805,"91812A",91812,925,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"806",806,"91874A",91874,952,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"807",807,"92132A",92132,945,NA,NA,"LIST2","lying whole",NA,NA,3,NA,NA,NA,NA,NA,42.8,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"808",808,"92378A",92378,921,NA,NA,"ACRU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"809",809,"92545B",92545,917,NA,NA,"ULRU","standing broken",NA,NA,2,NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"810",810,"92545A",92545,917,6.8,2,"ULRU","standing broken","Log",NA,2,3,NA,18.3,NA,NA,26.8,25.7,NA,NA,NA,NA,NA,5,NA,6,NA,NA,"snag","log",NA,2,NA
"811",811,"92767A",92767,919,6.8,6.9,"ULRU","standing dead","Consumed",NA,2,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","consumed",NA,NA,NA
"812",812,"10008A",10008,123,4.6,0.6,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,23.1,23.1,23.1,NA,24,NA,NA,NA,NA,4.8,10,NA,"snag","snag",1,1
"813",813,"10009A",10009,123,0.5,3.5,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,28.3,27.6,27.4,NA,24.7,NA,NA,NA,NA,11,10,NA,"snag","snag",1,1
"814",814,"10033A",10033,126,8.9,0.6,"FRPE",NA,"Snag","Snag",NA,2,3,NA,NA,NA,NA,23.3,23.4,20,NA,NA,NA,NA,NA,NA,7.4,NA,NA,"snag","snag",1,2
"815",815,"10135A",10135,115,10,6,"UNKN",NA,"Snag","Snag",NA,3,4,NA,NA,NA,NA,82.1,76.9,74.8,NA,70.2,NA,NA,NA,NA,18,15,NA,"snag","snag",2,2
"816",816,"10178A",10178,117,0.5,7.8,"QUAL",NA,"Snag","Log",NA,2,4,NA,NA,12.6,NA,20.9,20.5,NA,NA,19.8,NA,NA,8,NA,8.6,NA,NA,"snag","log",1,2
"817",817,"10219A",10219,135,7.4,2.2,"FRPE",NA,"Snag","Snag",NA,1,3,NA,NA,NA,NA,35.9,36,35.8,NA,NA,NA,NA,NA,NA,13.2,NA,NA,"snag","snag",1,2
"818",818,"10291A",10291,122,6.4,1.5,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,34.8,32.3,34.1,NA,NA,NA,NA,NA,NA,11.6,NA,NA,"snag","snag",1,1
"819",819,"10292A",10292,122,9.2,1.1,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,36.8,36.9,37.1,NA,NA,NA,NA,NA,NA,14.4,NA,NA,"snag","snag",1,1
"820",820,"10298A",10298,122,9.5,7.7,"TORA2",NA,"Snag",NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA
"821",821,"10316A",10316,143,2.2,0.3,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,25.9,NA,25.8,NA,26.7,NA,NA,NA,NA,12,12,NA,"snag","snag",1,1
"822",822,"10320A",10320,143,6.9,8.9,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,12.3,12.6,12.4,NA,12.4,NA,NA,NA,NA,5.5,5,NA,"snag","snag",1,1
"823",823,"10327A",10327,144,4.9,5,"ACRU",NA,"Stump",NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA
"824",824,"10347A",10347,146,5.7,9.9,"FRPE",NA,"Snag",NA,NA,NA,NA,NA,NA,NA,NA,17.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA
"825",825,"10348A",10348,146,6,9.9,"FRPE",NA,"Consumed",NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"consumed",NA,NA,NA
"826",826,"10349A",10349,146,3.7,7.9,"FRPE",NA,"Snag",NA,NA,NA,NA,NA,NA,NA,NA,12.4,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA
"827",827,"10350A",10350,147,9.1,7.5,"LIST2",NA,"Snag","Log",NA,2,4,NA,NA,24.9,NA,32.2,31.3,NA,NA,33,NA,NA,10,NA,10.2,NA,NA,"snag","log",1,2
"828",828,"10439A",10439,154,1.3,5.5,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,38.6,39.3,38.9,NA,36.6,NA,NA,NA,NA,20.6,3,NA,"snag","snag",1,1
"829",829,"10439A",10439,154,1.3,5.5,"FRPE",NA,NA,"Log",NA,NA,2,NA,NA,25.3,NA,NA,NA,38.9,NA,30.3,NA,NA,15,NA,NA,NA,NA,NA,"log",NA,1
"830",830,"10567A",10567,174,3,9.8,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,41.6,39.5,42.3,NA,NA,NA,NA,NA,NA,12.6,NA,NA,"snag","snag",1,1
"831",831,"10569A",10569,175,8,1.7,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,21.4,22.3,21.8,NA,NA,NA,NA,NA,NA,11,NA,NA,"snag","snag",1,1
"832",832,"10622A",10622,164,9.8,6.1,"FRPE",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,22.1,22.7,22.7,NA,NA,NA,NA,NA,NA,11.2,NA,NA,"snag","snag",1,1
"833",833,"10623B",10623,164,8.2,7.9,"FRPE",NA,"Log","Log
Snag",NA,2,2,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log",NA,1,1
"834",834,"10623A",10623,164,8.2,7.9,"FRPE",NA,"Snag","Snag",NA,2,2,NA,29.8,NA,NA,36.4,35.5,36.5,NA,NA,NA,NA,NA,NA,5.6,NA,NA,"snag","snag",1,1
"835",835,"10642A",10642,167,4.7,1,"LITU",NA,"Snag","Snag",NA,4,4,NA,NA,NA,NA,29.4,24.7,24,NA,NA,NA,NA,NA,NA,3,NA,NA,"snag","snag",2,2
"836",836,"10665A",10665,1610,7.6,8.9,"QUAL",NA,"Log","Log",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,17,NA,NA,NA,NA,NA,"log","log",1,1
"837",837,"10805A",10805,191,1.1,0.9,"QURU",NA,"Log","Log",NA,4,5,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"log","log",2,3
"838",838,"10952A",10952,1105,8.8,4.8,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,32.2,32.3,32.5,NA,NA,NA,NA,NA,NA,10.2,NA,NA,"snag","snag",1,1
"839",839,"10965A",10965,1105,4.8,8,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,33.6,32.8,33.8,NA,NA,NA,NA,NA,NA,16.2,NA,NA,"snag","snag",1,1
"840",840,"10971A",10971,1106,6,3.6,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,29.9,30.5,30.5,NA,NA,NA,NA,NA,NA,11.8,NA,NA,"snag","snag",1,1
"841",841,"10973A",10973,1106,2.5,6,"LIST2",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,26.9,26.9,26.9,NA,NA,NA,NA,NA,NA,8.6,NA,NA,"snag","snag",1,1
"842",842,"10978A",10978,1106,0.3,7.8,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,39.3,39.8,39.8,NA,NA,NA,NA,NA,NA,13.8,NA,NA,"snag","snag",1,1
"843",843,"11034A",11034,185,4.9,6.7,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,36,35.7,34.4,NA,NA,NA,NA,NA,NA,17,NA,NA,"snag","snag",1,1
"844",844,"11181A",11181,133,3.9,3.2,"FRPE",NA,"Snag","Log",NA,1,2,NA,NA,14.9,NA,24.8,23.4,25.2,NA,25,NA,NA,15,NA,16,NA,NA,"snag","log",1,1
"845",845,"11212A",11212,197,5.4,2.4,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,45.7,45.1,46.1,NA,NA,NA,NA,NA,NA,13.4,NA,NA,"snag","snag",1,1
"846",846,"20151A",20151,226,3,9.2,"CATO6",NA,"Snag","Log",NA,1,3,NA,NA,8.3,NA,11.9,11.5,NA,NA,10.1,NA,NA,7.7,NA,7,NA,NA,"snag","log",1,2
"847",847,"20175A",20175,229,2.1,1.9,"LITU",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,41.2,40.9,NA,NA,NA,NA,NA,NA,NA,37.6,NA,NA,"snag","snag",1,1
"848",848,"20260A",20260,244,4.9,1.1,"COFL2",NA,"Log","Log",NA,3,3,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"log","log",2,2
"849",849,"20277A",20277,245,4.6,8.2,"CAGL8",NA,"Snag","Log",NA,1,2,NA,NA,NA,NA,11,10.7,10.6,NA,NA,NA,NA,NA,NA,13,NA,NA,"snag","log",1,1
"850",850,"20313A",20313,231,9.8,5.8,"COFL2",NA,"Snag","Log",NA,2,2,NA,NA,NA,NA,10.7,10.5,10.3,NA,NA,NA,NA,NA,NA,8,NA,NA,"snag","log",1,1
"851",851,"20354B",20354,227,1.4,3.2,"QUAL",NA,"Log","Log",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,"log","log",2,2
"852",852,"20354A",20354,237,1.4,3.2,"QUAL",NA,"Snag","Snag",NA,3,3,NA,NA,NA,NA,60.3,61,58.6,NA,NA,NA,NA,NA,NA,3.5,NA,NA,"snag","snag",2,2
"853",853,"20718A",20718,283,1,1.1,"FAGR",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"log",NA,2,NA
"854",854,"20811A",20811,281,7.3,7.1,"LIST2",NA,"Log","Log",NA,3,3,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,"log","log",2,2
"855",855,"21231A",21231,2107,8.1,9.6,"CACA18",NA,"Log",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log",NA,3,NA
"856",856,"21527A",21527,241,8.2,5.7,"FAGR",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,12.1,12.1,11.6,NA,NA,NA,NA,NA,NA,5,NA,NA,"snag","snag",1,1
"857",857,"21541B",21541,243,0.4,4.7,"QURU",NA,"Log","Log",NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log","log",2,2
"858",858,"30154D",30154,325,9,8.5,"LITU",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"859",859,"30202A",30202,331,2.2,1.4,"FRPE",NA,"Snag","Log",NA,1,2,NA,NA,NA,NA,33.9,34,33.8,NA,NA,NA,NA,NA,NA,15.2,NA,NA,"snag","log",1,1
"860",860,"30225A",30225,333,6.1,9.1,"FRPE",NA,"Snag","Log",NA,1,1,NA,NA,NA,NA,30.3,30.2,30.3,NA,NA,NA,NA,NA,NA,25,NA,NA,"snag","log",1,1
"861",861,"30242A",30242,335,2.6,3.8,"LIST2",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,60.2,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"log","log",1,2
"862",862,"30264A",30264,337,6.4,1.8,"QUFA",NA,"Snag","Log",NA,2,4,NA,47.9,NA,NA,99.3,NA,96.6,NA,NA,NA,NA,NA,NA,15,NA,NA,"snag","log",1,2
"863",863,"30264B",30264,346,6.4,1.8,"QUFA",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,99.3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log","log",1,2
"864",864,"30272A",30272,337,1.5,8.4,"ACRU",NA,"Log","Log",NA,2,4,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,"log","log",1,2
"865",865,"30274B",30274,338,1,0.8,"CACA18",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"log",NA,2,NA
"866",866,"30274A",30274,338,1,0.8,"CACA18",NA,"Snag",NA,NA,3,NA,NA,10.8,NA,NA,12.8,13.3,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,"snag",NA,2,NA
"867",867,"30279A",30279,338,3,1.5,"QUAL",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,17.2,16.5,17.4,NA,NA,NA,NA,NA,NA,11,NA,NA,"snag","snag",1,1
"868",868,"30300B",30300,339,7.4,3.1,"CACA18",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"log",NA,2,NA
"869",869,"30300A",30300,339,7.4,3.1,"CACA18",NA,"Snag",NA,NA,4,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,"snag",NA,2,NA
"870",870,"30340B",30340,343,8.2,0.3,"ACRU",NA,"Log","Log",NA,3,4,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"log","log",2,2
"871",871,"30340A",30340,343,8.2,0.3,"ACRU",NA,"Snag","Log",NA,3,4,NA,25.2,NA,NA,27.3,26.9,25.9,NA,NA,NA,NA,NA,NA,1.7,NA,NA,"snag","log",2,2
"872",872,"30359A",30359,344,8,3.5,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,52.8,52.8,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,"snag","snag",1,1
"873",873,"30383A",30383,345,0.6,6.6,"FRPE",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,56.9,57.3,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,"snag","snag",1,1
"874",874,"30394A",30394,346,1.8,3.5,"FAGR",NA,"Log","Log",NA,2,4,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,"log","log",1,2
"875",875,"30438A",30438,351,7,7,"LIST2",NA,"Snag","Log",NA,1,3,NA,NA,10.3,NA,11.8,11.6,11.6,NA,12.7,NA,NA,3,NA,6.5,NA,NA,"snag","log",1,2
"876",876,"30944A",30944,348,7.9,8.1,"FAGR",NA,"Snag","Log",NA,3,3,NA,NA,NA,NA,13.3,11.9,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,"snag","log",2,2
"877",877,"31066A",31066,393,8.8,6.7,"CAGL8",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,10.5,11.3,10.7,NA,9.5,NA,NA,NA,NA,8,4,NA,"snag","snag",1,1
"878",878,"31089B",31089,394,0.7,9.2,"LIST2",NA,"Log","Log",NA,1,4,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,"log","log",1,2
"879",879,"31089A",31089,394,0.7,9.2,"LIST2",NA,"Snag","Snag",NA,1,3,NA,15.9,NA,NA,16.7,16.5,16.2,NA,15.3,NA,NA,NA,NA,3,1.9,NA,"snag","snag",1,2
"880",880,"31122A",31122,377,0,1.5,"CATO6",NA,"Log","Log",NA,NA,1,NA,NA,NA,NA,46.6,NA,NA,NA,46,NA,NA,0.88,NA,NA,NA,NA,"log","log",NA,1
"881",881,"31143A",31143,378,1.8,4.6,"CACA18",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"log",NA,2,NA
"882",882,"31335A",31335,389,0.5,6.9,"CATO6",NA,"Snag","Log",NA,2,4,NA,11.7,NA,NA,16.9,16.5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"snag","log",1,2
"883",883,"31335B",31335,389,0.5,6.9,"CATO6",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,"log",NA,2,NA
"884",884,"31504A",31504,395,5.6,6.4,"COFL2",NA,"Snag","Log",NA,1,2,NA,NA,NA,NA,10.3,10.2,10.1,NA,NA,NA,NA,NA,NA,7,NA,NA,"snag","log",1,1
"885",885,"40044B",40044,413,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,47,NA,NA,NA,NA,NA,52.5,NA,NA,1.3,NA,NA,NA,NA,"log","log",1,2
"886",886,"40044C",40044,413,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,46.7,NA,NA,NA,NA,NA,47,NA,NA,2.01,NA,NA,NA,NA,"log","log",1,2
"887",887,"40044D",40044,413,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,4,NA,NA,52.4,NA,NA,NA,NA,NA,54.2,NA,NA,2.1,NA,NA,NA,NA,"log","log",1,2
"888",888,"40044A",40044,413,9.5,4.5,"FAGR",NA,"Snag","Log",NA,2,3,NA,54.4,53.3,NA,60.2,57.2,NA,NA,55.6,NA,NA,4.3,NA,NA,NA,NA,"snag","log",1,2
"889",889,"40044E",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,4,NA,NA,32.5,NA,NA,NA,NA,NA,38.7,NA,NA,1,NA,NA,NA,NA,"log","log",1,2
"890",890,"40044F",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,4,NA,NA,28.8,NA,NA,NA,NA,NA,35,NA,NA,1,NA,NA,NA,NA,"log","log",1,2
"891",891,"40044G",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,23,NA,NA,NA,NA,NA,24.5,NA,NA,1.6,NA,NA,NA,NA,"log","log",1,2
"892",892,"40044H",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,26.2,NA,NA,NA,NA,NA,28.1,NA,NA,1.1,NA,NA,NA,NA,"log","log",1,2
"893",893,"40044I",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,34.6,NA,NA,NA,NA,NA,35.9,NA,NA,1.25,NA,NA,NA,NA,"log","log",1,2
"894",894,"40044J",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,24.2,NA,NA,NA,NA,NA,25.3,NA,NA,1.3,NA,NA,NA,NA,"log","log",1,2
"895",895,"40044K",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,25.8,NA,NA,NA,NA,NA,35.7,NA,NA,1.9,NA,NA,NA,NA,"log","log",1,2
"896",896,"40044L",40044,422,9.5,4.5,"FAGR",NA,"Log","Log",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",1,NA
"897",897,"40180A",40180,425,8.9,3.7,"QUFA",NA,"Snag","Snag",NA,2,3,NA,NA,NA,NA,47.4,46.3,46.4,NA,46.8,NA,NA,NA,NA,18.4,17,NA,"snag","snag",1,2
"898",898,"40203I",40203,431,0,3.1,"CATO6",NA,"Log","Log",NA,NA,4,NA,NA,31.4,NA,NA,NA,NA,NA,31.5,NA,NA,1.2,NA,NA,NA,NA,"log","log",NA,2
"899",899,"40391A",40391,428,NA,NA,"ACRU",NA,NA,"Log",NA,NA,3,NA,NA,9.1,NA,NA,NA,16.8,NA,9.8,NA,1.5,NA,NA,NA,NA,NA,NA,"log",NA,2
"900",900,"40391A",40391,428,0.8,4.5,"ACRU",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,16.8,17.1,16.8,NA,16.7,NA,NA,NA,NA,10.6,6,NA,"snag","snag",1,1
"901",901,"40511C",40511,426,4.6,4.4,"LITU",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"902",902,"40633B",40633,4210,1.3,1.6,"PIVI2",NA,"Log","C",NA,3,3,NA,NA,5,NA,NA,NA,NA,NA,14.3,NA,NA,14.7,NA,NA,NA,NA,"log",NA,2,2
"903",903,"40722A",40722,4110,1.1,9.9,"PIVI2",NA,"Log","Log",NA,3,3,NA,NA,5.8,NA,20.5,NA,19.9,NA,19.3,NA,NA,15.5,NA,NA,NA,NA,"log","log",2,2
"904",904,"40808B",40808,4310,3.2,3.6,"COFL2",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,1,NA
"905",905,"40808C",40808,4310,3.2,3.6,"COFL2",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,1,NA
"906",906,"40808A",40808,4310,3.2,3.6,"COFL2",NA,"Snag","Log",NA,2,3,NA,8.6,6.2,NA,11.3,11.5,11.1,NA,10.2,NA,NA,6.8,NA,NA,NA,NA,"snag","log",1,2
"907",907,"40852A",40852,462,9.5,4,"CARYA",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,1,NA
"908",908,"40857B",40857,461,1.9,9.9,"FAGR",NA,"Log","Log",NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",2,2
"909",909,"40858B",40858,462,4.3,1.3,"CATO6",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",1,2
"910",910,"40858A",40858,462,4.3,1.3,"CATO6",NA,"Snag","Snag",NA,3,3,NA,21.8,NA,NA,24.1,19.2,18.3,NA,18,NA,NA,NA,NA,2.6,2.2,NA,"snag","snag",2,2
"911",911,"40866B",40866,463,5.4,5.1,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",1,2
"912",912,"40962B",40962,456,7.7,1.9,"COFL2",NA,"Log","Log",NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,"log","log",2,3
"913",913,"40970A",40970,456,3.2,7.7,"LITU",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,33.1,32,31.3,NA,30.1,NA,NA,NA,NA,16.6,15.5,NA,"snag","snag",1,1
"914",914,"40997B",40997,458,8.8,0.3,"UNKN",NA,"Log","Log",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",2,2
"915",915,"41017B",41017,483,7.6,4,"CATO6",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"916",916,"41017C",41017,483,7.6,4,"CATO6",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"917",917,"41133A",41133,468,6.4,2.4,"QUAL",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,69.6,69.6,69.4,NA,69.5,NA,NA,NA,NA,5,5,NA,"snag","snag",1,1
"918",918,"41133A",41133,468,6.4,2.4,"QUAL",NA,"Log","Log",NA,NA,2,NA,NA,NA,NA,NA,NA,69.4,NA,52.4,NA,NA,NA,NA,NA,NA,NA,"log","log",NA,1
"919",919,"41143B",41143,468,3.1,8.2,"FAGR",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"920",920,"41143A",41143,468,3.1,8.2,"FAGR",NA,"Snag",NA,NA,3,NA,NA,22.8,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"snag",NA,2,NA
"921",921,"41292A",41292,4410,0.5,2.8,"COFL2",NA,"Snag",NA,NA,1,3,NA,NA,NA,NA,10.6,10.3,10.2,NA,9.8,NA,NA,NA,NA,7,4.5,NA,"snag",NA,1,2
"922",922,"41308B",41308,458,8.5,7.1,"ACRU",NA,"Log","Log",NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",1,2
"923",923,"41308C",41308,458,8.5,7.1,"ACRU",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,1,NA
"924",924,"41308A",41308,458,8.5,7.1,"ACRU",NA,"Snag","Snag",NA,1,3,NA,17.2,NA,NA,21,20.7,20.8,NA,20.2,NA,NA,NA,NA,5.2,5,NA,"snag","snag",1,2
