"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"374",374,"160120B",160120,1692,NA,NA,"PIVI2","standing broken",NA,NA,3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"375",375,"160120A",160120,1692,NA,NA,"PIVI2","standing broken",NA,NA,3,NA,NA,9,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,"snag",NA,NA,NA,NA
"376",376,"160148A",160148,1693,9,1,"PIVI2","standing dead","Snag","Snag",2,2,2,NA,NA,NA,21.1,20.3,20.2,19.9,NA,20,NA,NA,NA,NA,12,15,"snag","snag","snag",1,1
"377",377,"160161A",160161,1694,NA,NA,"PIVI2","standing dead",NA,NA,3,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"378",378,"160186A",160186,1695,NA,NA,"LITU","lying broken",NA,NA,2,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"379",379,"160186B",160186,1694,NA,NA,"LITU","lying broken",NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"380",380,"160226A",160226,1672,NA,NA,"LITU","lying cut",NA,NA,2,NA,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"381",381,"160226B",160226,1672,NA,NA,"LITU","lying cut",NA,NA,2,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"382",382,"160279A",160279,1698,NA,NA,"RHAR3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"383",383,"160280A",160280,1698,NA,NA,"RHAR3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"384",384,"160400A",160400,1684,NA,NA,"ULAM","lying whole",NA,NA,2,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"385",385,"160407A",160407,1694,NA,NA,"LITU","standing dead",NA,NA,2,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"386",386,"160644A",160644,1687,NA,NA,"LITU","lying cut",NA,NA,1,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"387",387,"160800A",160800,1645,1,4.7,"PLOC","standing broken","Snag","Log",3,4,4,36.5,NA,39.5,52.4,52.3,50.3,50.7,NA,56.1,NA,NA,3,13.4,3,NA,"snag","snag","log",2,2
"388",388,"160800B",160800,1645,NA,NA,"PLOC","standing broken",NA,NA,3,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"389",389,"160961A",160961,1641,5.4,0.6,"CACA18","lying whole","Log",NA,1,NA,NA,NA,NA,NA,13.8,15.1,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,"log","log",NA,NA,NA
"390",390,"161108A",161108,1645,NA,NA,"LITU","lying whole",NA,NA,3,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"391",391,"161567A",161567,1636,8.5,1,"QUPA2","standing dead","Snag","Log",3,3,4,NA,NA,52.6,117,117.3,114.7,NA,NA,100,NA,NA,20,NA,NA,NA,"snag","snag","log",2,2
"392",392,"161938A",161938,1622,NA,NA,"LIST2","standing broken",NA,NA,2,NA,NA,12.4,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,"snag",NA,NA,NA,NA
"393",393,"161938B",161938,1612,NA,NA,"LIST2","standing broken",NA,NA,2,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"394",394,"162431B",162431,16109,NA,NA,"QUAL","standing broken",NA,NA,3,NA,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"395",395,"162431A",162431,16109,6.5,8,"QUAL","standing broken","Snag","Snag",3,4,3,26.2,NA,NA,80.5,69.5,75.8,NA,NA,NA,NA,NA,NA,6.1,6,NA,"snag","snag","snag",2,2
"396",396,"162435A",162435,16109,3.8,8.4,"UNKN","standing dead","Snag","Snag",3,4,3,NA,NA,NA,49.6,50,49.8,48.6,NA,NA,NA,NA,NA,NA,5,NA,"snag","snag","snag",2,2
"397",397,"162457A",162457,1699,5.3,8,"FAGR","standing dead","NF",NA,2,NA,NA,NA,NA,NA,30.6,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","NF",NA,NA,NA
"398",398,"162458A",162458,1699,1.9,5.4,"QUAL","standing broken","NF",NA,3,NA,NA,NA,NA,NA,36.8,36,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,"snag","NF",NA,NA,NA
"399",399,"162465A",162465,1699,NA,NA,"FAGR","standing dead",NA,NA,2,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"400",400,"162633A",162633,1658,NA,NA,"LITU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"401",401,"162684A",162684,1689,NA,NA,"LIST2","standing broken",NA,NA,3,NA,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"snag",NA,NA,NA,NA
"402",402,"162685A",162685,1689,7,7.4,"FAGR","standing dead","Consumed",NA,2,NA,NA,NA,NA,NA,15.5,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","consumed",NA,NA,NA
"403",403,"162687A",162687,1689,NA,NA,"FAGR","standing dead",NA,NA,2,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"404",404,"162689A",162689,1689,NA,NA,"FAGR","standing dead",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"405",405,"162691A",162691,1689,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"406",406,"162692A",162692,1689,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
